TCGA-61-2110-01A
TCGA-04-1351-01A
TCGA-04-1514-01A
TCGA-09-2050-01A
TCGA-13-1485-01A
TCGA-20-0996-01A
TCGA-29-1691-01A
TCGA-29-1762-01A
TCGA-36-1577-01A
TCGA-61-2098-01A
TCGA-04-1648-01A
TCGA-13-1481-01A
TCGA-25-2408-01A
TCGA-29-1690-01A
TCGA-29-1703-01A
TCGA-29-1763-01A
TCGA-29-1771-01A
TCGA-29-1775-01A
TCGA-29-1710-01A
TCGA-29-1764-01A
TCGA-29-1766-01A
TCGA-29-1777-01A
TCGA-30-1887-01A
TCGA-30-1891-01A
TCGA-61-2003-01A
TCGA-61-2012-01A
TCGA-61-2095-01A
TCGA-04-1655-01A
TCGA-10-0927-01A
TCGA-29-2414-01A
TCGA-61-1743-01A
TCGA-61-2096-01A
TCGA-61-2097-01A
TCGA-61-2101-01A
TCGA-04-1652-01A
TCGA-09-1675-01B
TCGA-09-2045-01A
TCGA-13-1482-01A
TCGA-29-1696-01A
TCGA-29-1705-01A
TCGA-29-1770-01A
TCGA-30-1862-01A
TCGA-31-1950-01A
TCGA-61-2104-01A
TCGA-09-1667-01C
TCGA-29-1695-01A
TCGA-29-1711-01A
TCGA-30-1866-01A
TCGA-61-1919-01A
TCGA-04-1542-01A
TCGA-13-1477-01A
TCGA-13-1489-01A
TCGA-61-2008-01A
TCGA-04-1654-01A
TCGA-09-1665-01B
TCGA-13-1495-01A
TCGA-29-1688-01A
TCGA-29-2425-01A
TCGA-04-1371-01A
TCGA-09-0364-01A
TCGA-09-0365-01A
TCGA-09-0369-01A
TCGA-09-1661-01B
TCGA-09-1674-01A
TCGA-09-2048-01A
TCGA-09-2054-01A
TCGA-13-0730-01A
TCGA-13-0800-01A
TCGA-13-0887-01A
TCGA-13-0888-01A
TCGA-13-0901-01B
TCGA-13-0904-01A
TCGA-13-0905-01B
TCGA-23-1114-01B
TCGA-23-2081-01A
TCGA-24-1424-01A
TCGA-24-1544-01A
TCGA-24-1923-01A
TCGA-24-2020-01A
TCGA-24-2027-01A
TCGA-24-2254-01A
TCGA-24-2280-01A
TCGA-24-2295-01A
TCGA-25-1313-01A
TCGA-25-1315-01A
TCGA-25-1323-01A
TCGA-25-2397-01A
TCGA-25-2398-01A
TCGA-29-1702-01A
TCGA-29-1774-01A
TCGA-57-1992-01A
TCGA-59-2363-01A
TCGA-61-1728-01A
TCGA-61-1730-01A
TCGA-61-1900-01A
TCGA-61-2102-01A
TCGA-04-1646-01A
TCGA-04-1649-01A
TCGA-09-0366-01A
TCGA-09-2055-01B
TCGA-13-0757-01A
TCGA-13-0890-01A
TCGA-13-1408-01A
TCGA-13-1412-01A
TCGA-13-1497-01A
TCGA-13-1505-01A
TCGA-23-1111-01A
TCGA-23-2072-01A
TCGA-23-2077-01A
TCGA-24-1418-01A
TCGA-24-1425-01A
TCGA-24-1434-01A
TCGA-24-1550-01A
TCGA-24-1564-01A
TCGA-24-1850-01A
TCGA-24-1928-01A
TCGA-24-2026-01A
TCGA-24-2289-01A
TCGA-24-2298-01A
TCGA-25-1319-01A
TCGA-25-1320-01A
TCGA-25-1328-01A
TCGA-25-1877-01A
TCGA-25-2042-01A
TCGA-29-1693-01A
TCGA-29-1783-01A
TCGA-30-1714-01A
TCGA-30-1892-01A
TCGA-59-2349-01A
TCGA-59-2352-01A
TCGA-61-1733-01A
TCGA-61-1738-01A
TCGA-61-1906-01A
TCGA-61-2111-01A
TCGA-09-2051-01A
TCGA-09-2053-01C
TCGA-10-0930-01A
TCGA-13-0768-01A
TCGA-13-0795-01A
TCGA-13-0805-01A
TCGA-13-0886-01A
TCGA-13-0894-01B
TCGA-13-0921-01A
TCGA-13-1405-01A
TCGA-13-1411-01A
TCGA-13-1499-01A
TCGA-13-1507-01A
TCGA-23-2079-01A
TCGA-24-1436-01A
TCGA-24-1549-01A
TCGA-24-1553-01A
TCGA-24-1849-01A
TCGA-24-1920-01A
TCGA-24-1930-01A
TCGA-24-2029-01A
TCGA-24-2035-01A
TCGA-24-2267-01A
TCGA-25-1316-01A
TCGA-25-1623-01A
TCGA-25-1626-01A
TCGA-25-1628-01A
TCGA-25-1633-01A
TCGA-29-1701-01A
TCGA-29-1761-01A
TCGA-29-1768-01A
TCGA-29-1778-01A
TCGA-30-1718-01A
TCGA-30-1856-01A
TCGA-30-1860-01A
TCGA-59-2354-01A
TCGA-61-1722-01A
TCGA-61-1917-01A
TCGA-61-2009-01A
TCGA-61-2018-01A
TCGA-61-2113-01A
TCGA-04-1364-01A
TCGA-09-2049-01D
TCGA-10-0926-01A
TCGA-13-0717-01A
TCGA-13-0727-01A
TCGA-13-0802-01A
TCGA-13-0900-01B
TCGA-13-0919-01A
TCGA-13-0920-01A
TCGA-13-1407-01A
TCGA-13-1409-01A
TCGA-13-1491-01A
TCGA-13-1492-01A
TCGA-13-1494-01A
TCGA-13-1504-01A
TCGA-20-1683-01A
TCGA-20-1684-01A
TCGA-24-1426-01A
TCGA-24-1430-01A
TCGA-24-1474-01A
TCGA-24-1546-01A
TCGA-24-1552-01A
TCGA-24-1567-01A
TCGA-24-1603-01A
TCGA-24-1616-01A
TCGA-24-1844-01A
TCGA-24-2024-01A
TCGA-24-2033-01A
TCGA-25-1318-01A
TCGA-25-1625-01A
TCGA-25-1632-01A
TCGA-25-1634-01A
TCGA-25-2400-01A
TCGA-29-1697-01A
TCGA-57-1586-01A
TCGA-57-1993-01A
TCGA-61-2088-01A
TCGA-61-2092-01A
TCGA-04-1361-01A
TCGA-04-1638-01A
TCGA-09-0367-01A
TCGA-09-2044-01B
TCGA-10-0933-01A
TCGA-13-0762-01A
TCGA-13-0765-01A
TCGA-13-0794-01A
TCGA-13-0883-01A
TCGA-13-0891-01A
TCGA-13-0906-01A
TCGA-13-0908-01B
